idx,cdacordao,classe,rank_bm25,rank_dense,rank_hyde,rank_hybrid,rank_basehyb
72,1862915,Apelação Cível / Obrigação de Fazer / Não Fazer,1.0,10.0,1.0,1.0,3.0
73,1862923,Apelação Cível / Marca,1.0,1.0,1.0,1.0,1.0
74,1862979,Apelação Cível / Práticas Abusivas,9.0,,,,
75,1863006,Apelação Cível / Contratos Bancários,4.0,,3.0,3.0,8.0
76,1863007,Apelação Cível / Contratos Bancários,3.0,,2.0,2.0,6.0
77,1863013,Apelação Cível / Contratos Bancários,1.0,8.0,,2.0,3.0
78,1863016,Apelação Cível / Contratos Bancários,5.0,,,10.0,10.0
79,1863022,Apelação Cível / Obrigação de Fazer / Não Fazer,1.0,5.0,,3.0,2.0
80,1863036,Apelação Cível / Dívida Ativa,,,,,
81,1863039,Apelação Cível / Rescisão do contrato e devolução do dinheiro,1.0,,2.0,1.0,4.0
82,1863079,Apelação Cível / Contratos Bancários,1.0,,2.0,1.0,3.0
83,1862294,Agravo Interno Cível / Fornecimento de medicamentos,,,3.0,6.0,
84,1862295,Agravo Interno Cível / Padronizado,,,2.0,4.0,
85,1862476,Apelação Cível / Dívida Ativa,,,,,
86,1862519,Apelação Cível / Dívida Ativa,,,,,
87,1862520,Apelação Cível / Dívida Ativa,,,1.0,1.0,
88,1862524,Embargos de Declaração Cível / Contratos Bancários,2.0,,8.0,1.0,4.0
89,1862527,Apelação Cível / Dívida Ativa,7.0,,,,
90,1862528,Apelação Cível / Dívida Ativa,,,,,
91,1862533,Apelação Cível / Dívida Ativa,,,,,
92,1862541,"Embargos de Declaração Cível / Revisão de Juros Remuneratórios, Capitalização/Anatocismo",10.0,,,,
93,1862549,Apelação Cível / Dívida Ativa,6.0,,3.0,2.0,
94,1862551,Apelação Cível / Dívida Ativa,5.0,,,10.0,
95,1862552,Apelação Cível / Dívida Ativa,,,4.0,7.0,
96,1862553,Apelação Cível / Dívida Ativa,,,,,
97,1862561,Apelação Cível / Dívida Ativa,1.0,,,2.0,2.0
98,1862567,Apelação Cível / Dívida Ativa,,,,,
99,1862574,Apelação Cível / Dívida Ativa,,,4.0,7.0,
100,1862575,Apelação Cível / Dívida Ativa,,,3.0,5.0,
101,1862578,Apelação Cível / Dívida Ativa,,9.0,,,
102,1862579,Apelação Cível / Dívida Ativa,6.0,8.0,,,4.0
103,1862580,Apelação Cível / Dívida Ativa,7.0,7.0,,,5.0
104,1862584,Embargos de Declaração Cível / Alienação Fiduciária,1.0,,,3.0,2.0
105,1862585,Apelação Cível / Dívida Ativa,,,,,
106,1862586,Apelação Cível / Dívida Ativa,,,,,
107,1862587,Apelação Cível / Dívida Ativa,3.0,,,6.0,6.0
108,1862588,Apelação Cível / Dívida Ativa,8.0,7.0,,,4.0
109,1862589,Apelação Cível / Dívida Ativa,9.0,6.0,,,2.0
110,1862590,Apelação Cível / IPTU/ Imposto Predial e Territorial Urbano,6.0,,,7.0,
111,1862591,Apelação Cível / Incapacidade Laborativa Permanente,1.0,2.0,1.0,1.0,1.0
112,1862599,Apelação Cível / Dívida Ativa,3.0,,7.0,2.0,6.0
113,1862600,Apelação Cível / Dívida Ativa,7.0,2.0,5.0,6.0,4.0
114,1862601,Apelação Cível / Irregularidade no atendimento,1.0,1.0,1.0,1.0,1.0
115,1862611,Apelação Cível / Dívida Ativa,,,,,
116,1862612,Apelação Cível / Dívida Ativa,,,,,
117,1862614,Apelação Cível / Dívida Ativa,,,,,
118,1862620,Apelação Cível / Dívida Ativa,,,,,
119,1862622,Apelação Cível / Dívida Ativa,,,,,
120,1862630,Apelação Cível / Dívida Ativa,,,6.0,,
121,1862635,Apelação Cível / Alienação Fiduciária,1.0,,1.0,1.0,3.0
122,1862636,Apelação Cível / Dívida Ativa,,,,,
123,1862637,Apelação Cível / Dívida Ativa,6.0,,1.0,1.0,
124,1862638,Apelação Cível / Obrigação de Fazer / Não Fazer,1.0,,1.0,1.0,2.0
125,1862649,Apelação Cível / Dívida Ativa,,,,,
126,1862657,Apelação Cível / Práticas Abusivas,1.0,,,3.0,6.0
127,1862660,Apelação Cível / Contratos Bancários,1.0,,1.0,1.0,2.0
128,1862665,Apelação Cível / Dívida Ativa,,,,,
129,1862667,Apelação Cível / Dívida Ativa,,,,,
130,1862668,Apelação Cível / Dívida Ativa,7.0,,,9.0,
131,1862669,Apelação Cível / Dívida Ativa,,,,,
132,1862676,Apelação Cível / Desconto em Folha de Pagamento/Benefício Previdenciário,1.0,1.0,,5.0,1.0
133,1862680,Apelação Cível / Dívida Ativa,,,,,
134,1862681,Apelação Cível / Dívida Ativa,,,4.0,7.0,
135,1862683,Apelação Cível / Fornecimento de medicamentos,1.0,1.0,1.0,1.0,1.0
136,1862684,"Apelação Cível / Defeito, nulidade ou anulação",1.0,,1.0,1.0,4.0
137,1862689,Apelação Cível / Dívida Ativa,,,,,
138,1862692,Apelação Cível / Dívida Ativa,,5.0,,,
139,1862693,Apelação Cível / Dívida Ativa,10.0,4.0,,,1.0
140,1862694,Apelação Cível / Dívida Ativa,,3.0,,,10.0
141,1862695,Apelação Cível / Dívida Ativa,,2.0,,,8.0
142,1862697,Apelação Cível / Dívida Ativa,,,,,
143,1862698,Apelação Cível / Dívida Ativa,,,,,
144,1862700,Apelação Cível / Descontos dos benefícios,1.0,5.0,1.0,1.0,2.0
145,1862701,Apelação Cível / Contratos Bancários,1.0,,1.0,1.0,3.0
146,1862703,Apelação Cível / Dívida Ativa,,,,,
147,1862711,Apelação Cível / Dívida Ativa,,,,,
148,1862712,Apelação Cível / Dívida Ativa,,,,,
149,1862713,Apelação Cível / Contratos Bancários,1.0,,4.0,1.0,6.0
150,1862717,Apelação Cível / Dívida Ativa,5.0,,,10.0,
151,1861238,Agravo Interno Cível / Prescrição,1.0,4.0,1.0,1.0,1.0
152,1861243,"Apelação Cível / Defeito, nulidade ou anulação",1.0,,,2.0,2.0
153,1861248,Apelação Cível / Seguro,1.0,,1.0,1.0,4.0
154,1861281,Embargos de Declaração Cível / Seguro,1.0,,3.0,1.0,2.0
155,1861288,Agravo Interno Cível / Cédula de Crédito Bancário,1.0,,,3.0,3.0
156,1861306,Embargos de Declaração Cível / ITBI - Imposto de Transmissão Intervivos de Bens Móveis e Imóveis,1.0,2.0,1.0,1.0,1.0
157,1861325,Agravo de Instrumento / Adicional de Horas Extras,1.0,1.0,1.0,1.0,1.0
158,1861343,Apelação Cível / Rescisão do contrato e devolução do dinheiro,1.0,,1.0,1.0,2.0
159,1861349,Agravo de Instrumento / Contratos Bancários,1.0,,1.0,1.0,2.0
160,1861352,Apelação Cível / Práticas Abusivas,1.0,,,2.0,2.0
161,1861355,Agravo de Instrumento / Inventário e Partilha,1.0,,1.0,1.0,6.0
162,1861358,Agravo de Instrumento / Imissão na Posse,1.0,1.0,1.0,1.0,1.0
163,1861398,Embargos de Declaração Cível / Efeito Suspensivo / Impugnação / Embargos à Execução,1.0,2.0,2.0,1.0,1.0
164,1861405,Apelação / Remessa Necessária / Internação compulsória,1.0,,1.0,1.0,5.0
165,1861421,Apelação Cível / Despesas Condominiais,1.0,,1.0,1.0,2.0
166,1861458,Agravo de Instrumento / Tutela de Urgência,1.0,,,3.0,6.0
167,1861477,Apelação Cível / Descontos dos benefícios,1.0,,1.0,1.0,5.0
168,1861506,Apelação Cível / Alienação Fiduciária,2.0,,4.0,1.0,4.0
169,1861534,Apelação Cível / Contratos Bancários,1.0,2.0,1.0,1.0,1.0
