idx,cdacordao,classe,rank_bm25,rank_dense,rank_hyde,rank_hybrid,rank_basehyb
346,1862341,Apelação Criminal / Roubo,1.0,2.0,5.0,1.0,1.0
347,1862358,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,7.0,,
348,1862401,Agravo Interno Criminal / Tráfico de Drogas e Condutas Afins,6.0,,2.0,1.0,
349,1862444,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,,2.0,6.0
350,1861321,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,,3.0,6.0
351,1861390,Apelação Criminal / Leve,1.0,,4.0,1.0,4.0
352,1861391,Apelação Criminal / Furto Qualificado,,,1.0,1.0,
353,1861446,Apelação Criminal / Crimes de Trânsito,1.0,,,3.0,5.0
354,1861489,Apelação Criminal / Crimes de Trânsito,5.0,,1.0,2.0,9.0
355,1861490,Apelação Criminal / Crimes do Sistema Nacional de Armas,1.0,,,6.0,2.0
356,1861517,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,,2.0,5.0
357,1861568,Apelação Criminal / Grave,1.0,10.0,1.0,1.0,2.0
358,1861596,Revisão Criminal / Tráfico de Drogas e Condutas Afins,1.0,8.0,1.0,1.0,2.0
359,1861676,Apelação Criminal / Leve,,,,,
360,1860279,Conselho de Justificação / Transferência para reserva,1.0,,1.0,1.0,7.0
361,1860294,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,9.0,10.0,1.0,4.0
362,1860300,Apelação Criminal / Estelionato,1.0,,1.0,1.0,5.0
363,1860304,Apelação Criminal / Traslado ou Descarte de Resíduos/Efluentes,1.0,,1.0,1.0,6.0
364,1860319,Apelação Criminal / Maus Tratos,1.0,,1.0,1.0,2.0
365,1860330,Apelação Criminal / Uso de documento falso,2.0,,1.0,1.0,6.0
366,1860345,Apelação Criminal / Crimes do Sistema Nacional de Armas,1.0,,1.0,1.0,7.0
367,1860348,Apelação Criminal / Estelionato,1.0,,1.0,1.0,5.0
368,1860352,Revisão Criminal / Tráfico de Drogas e Condutas Afins,9.0,,6.0,3.0,
369,1860391,Revisão Criminal / Tráfico de Drogas e Condutas Afins,1.0,,2.0,1.0,7.0
370,1860412,Apelação Criminal / Homicídio Qualificado,1.0,,1.0,1.0,4.0
371,1860440,Revisão Criminal / Tráfico de Drogas e Condutas Afins,5.0,10.0,4.0,1.0,4.0
372,1859299,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,1.0,1.0,6.0
373,1859302,Apelação Criminal / Tráfico de Drogas e Condutas Afins,3.0,10.0,,6.0,3.0
374,1859378,Apelação Criminal / Crimes de Trânsito,1.0,,1.0,1.0,5.0
375,1859428,Apelação Criminal / Roubo Majorado,,10.0,,,
376,1859467,Apelação Criminal / Crimes Previstos no Estatuto da criança e do adolescente,1.0,,3.0,1.0,4.0
377,1859549,Apelação Criminal / Restituição de Coisas Apreendidas,1.0,,1.0,1.0,6.0
378,1859559,Apelação Criminal / Roubo Majorado,1.0,1.0,,2.0,1.0
379,1859566,Apelação Criminal / Furto Qualificado,3.0,,,6.0,7.0
380,1859687,Habeas Corpus Criminal / Liminar,1.0,,1.0,1.0,4.0
381,1859713,Apelação Criminal / Tráfico de Drogas e Condutas Afins,6.0,6.0,,,4.0
382,1858331,Apelação Criminal / Crimes de Trânsito,,,1.0,1.0,
383,1858334,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,10.0,1.0,1.0,4.0
384,1858340,Apelação Criminal / Crimes de Trânsito,1.0,,7.0,1.0,5.0
385,1858346,Apelação Criminal / Furto Qualificado,1.0,,1.0,1.0,5.0
386,1858353,Apelação Criminal / Latrocínio,1.0,5.0,1.0,1.0,2.0
387,1858372,Apelação Criminal / Roubo Majorado,2.0,,10.0,1.0,7.0
388,1858374,Apelação Criminal / Furto,1.0,8.0,1.0,1.0,1.0
389,1858376,Apelação Criminal / Crimes do Sistema Nacional de Armas,1.0,,6.0,1.0,6.0
390,1858396,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,3.0,,2.0,1.0
391,1858414,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,,2.0,7.0
392,1858417,Apelação Criminal / Furto,1.0,,5.0,1.0,5.0
393,1858437,Apelação Criminal / Furto Qualificado,1.0,,,2.0,6.0
394,1858448,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,6.0,10.0,
395,1858462,Apelação Criminal / Tráfico de Drogas e Condutas Afins,6.0,,2.0,2.0,
396,1858521,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,,2.0,7.0
397,1858531,Agravo de Execução Penal / Regressão de Regime,1.0,2.0,1.0,1.0,1.0
398,1858560,Apelação Criminal / Furto,1.0,6.0,1.0,1.0,3.0
399,1858573,Apelação Criminal / Homicídio Qualificado,1.0,,5.0,1.0,6.0
400,1858607,Apelação Criminal / Crimes do Sistema Nacional de Armas,1.0,,1.0,1.0,6.0
401,1858617,Apelação Criminal / Roubo Majorado,1.0,,1.0,1.0,5.0
402,1857981,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,,2.0,5.0
403,1857985,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,8.0,,
404,1858170,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,1.0,1.0,6.0
405,1857052,Apelação Criminal / Homicídio Qualificado,4.0,,1.0,1.0,7.0
406,1857053,Apelação Criminal / Crimes do Sistema Nacional de Armas,1.0,7.0,,4.0,1.0
407,1857097,Apelação Criminal / Estelionato,1.0,3.0,5.0,1.0,1.0
408,1857107,Apelação Criminal / Tráfico de Drogas e Condutas Afins,3.0,,2.0,1.0,7.0
409,1857108,"Apelação Criminal / Intolerância e/ou Injúria Racial, de Cor e/ou Etnia",1.0,,1.0,1.0,5.0
410,1857144,Apelação Criminal / Roubo Majorado,1.0,,3.0,1.0,6.0
411,1857159,Apelação Criminal / Tráfico de Drogas e Condutas Afins,8.0,,6.0,1.0,
412,1857394,Apelação Criminal / Furto Qualificado,1.0,,4.0,1.0,4.0
413,1857395,Apelação Criminal / Receptação,1.0,,3.0,1.0,5.0
414,1857413,Apelação Criminal / Adulteração de Sinal Identificador de Veículo Automotor,1.0,,10.0,2.0,6.0
415,1857462,"Apelação Criminal / Intolerância e/ou Injúria Racial, de Cor e/ou Etnia",1.0,,1.0,1.0,5.0
416,1857468,Apelação Criminal / Furto Qualificado,1.0,,1.0,1.0,5.0
417,1856363,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,,,
418,1856365,Apelação Criminal / Furto,1.0,,3.0,1.0,6.0
419,1856367,Apelação Criminal / Desobediência,1.0,,1.0,1.0,5.0
420,1856372,Apelação Criminal / Furto Qualificado,,,,,
421,1856499,Revisão Criminal / Roubo Majorado,1.0,1.0,1.0,1.0,1.0
422,1856500,Revisão Criminal / Roubo Majorado,1.0,2.0,7.0,1.0,1.0
423,1856514,Apelação Criminal / Roubo Majorado,1.0,,,2.0,6.0
424,1856523,Apelação Criminal / Furto Qualificado,1.0,,6.0,1.0,6.0
425,1854829,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,4.0,7.0,
426,1854934,Apelação Criminal / Crimes de Trânsito,,,,,
427,1854940,Apelação Criminal / Crimes contra a Flora,1.0,,1.0,1.0,6.0
428,1854972,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,4.0,1.0,7.0
429,1854994,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,1.0,1.0,7.0
430,1855018,Apelação Criminal / Receptação,5.0,,1.0,1.0,8.0
431,1855066,Apelação Criminal / Grave,1.0,,1.0,1.0,6.0
432,1855095,Apelação Criminal / Roubo Majorado,1.0,,1.0,1.0,6.0
433,1855131,Apelação Criminal / Do Sistema Nacional de Armas,1.0,,1.0,1.0,5.0
434,1855182,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,1.0,1.0,5.0
435,1855208,Apelação Criminal / Crimes do Sistema Nacional de Armas,1.0,9.0,2.0,1.0,1.0
436,1855228,Apelação Criminal / Furto,1.0,,1.0,1.0,6.0
437,1855229,Apelação Criminal / Receptação,1.0,10.0,2.0,2.0,1.0
438,1855439,Apelação Criminal / Furto Qualificado,,,2.0,4.0,
439,1853832,Apelação Criminal / Furto Qualificado,1.0,3.0,10.0,2.0,2.0
440,1853858,Embargos de Declaração Criminal / Tráfico de Drogas e Condutas Afins,1.0,,1.0,1.0,6.0
441,1853866,Apelação Criminal / Crimes de Trânsito,1.0,1.0,1.0,1.0,1.0
442,1853878,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,4.0,,2.0,1.0
443,1853885,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,4.0,,2.0,2.0
444,1853899,Apelação Criminal / Tráfico de Drogas e Condutas Afins,8.0,,1.0,1.0,
445,1853900,Apelação Criminal / Incêndio,2.0,,1.0,1.0,5.0
446,1853907,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,1.0,1.0,4.0
447,1853925,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,1.0,,2.0,1.0
448,1853957,Embargos de Declaração Criminal / Contagem de Prazo para os Benefícios,1.0,,1.0,1.0,4.0
449,1854018,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,,,
450,1854042,Embargos de Declaração Criminal / Remição,1.0,,5.0,1.0,3.0
451,1854078,Apelação Criminal / Tráfico de Drogas e Condutas Afins,3.0,,3.0,1.0,6.0
452,1854108,Agravo de Execução Penal / Prisão Domiciliar / Especial,1.0,10.0,1.0,1.0,3.0
453,1854162,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,8.0,6.0,1.0,1.0
454,1854212,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,7.0,,
455,1854237,Agravo de Execução Penal / Contagem de Prazo para os Benefícios,1.0,2.0,1.0,1.0,1.0
456,1854329,Apelação Criminal / Furto,,,2.0,3.0,
457,1853192,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,10.0,,2.0,3.0
458,1853195,Apelação Criminal / Tráfico de Drogas e Condutas Afins,3.0,,1.0,1.0,8.0
459,1853230,Embargos de Declaração Criminal / Tráfico de Drogas e Condutas Afins,1.0,,1.0,1.0,5.0
460,1853242,Apelação Criminal / Tráfico de Drogas e Condutas Afins,3.0,,5.0,1.0,8.0
461,1853246,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,,2.0,7.0
462,1853261,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,1.0,2.0,
463,1853268,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,1.0,1.0,
464,1853278,Embargos de Declaração Criminal / Tráfico de Drogas e Condutas Afins,2.0,,2.0,2.0,6.0
465,1853297,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,5.0,9.0,
466,1853298,Apelação Criminal / Furto Qualificado,3.0,,1.0,1.0,7.0
467,1853307,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,,2.0,6.0
468,1853332,Embargos de Declaração Criminal / Crimes de Trânsito,1.0,,4.0,1.0,3.0
469,1853365,Apelação Criminal / Receptação,,,6.0,,
470,1853374,Embargos de Declaração Criminal / Prisão Preventiva,1.0,5.0,1.0,1.0,1.0
471,1853376,Apelação Criminal / Maus Tratos,1.0,,1.0,1.0,5.0
472,1853394,Embargos de Declaração Criminal / Livramento condicional,1.0,,1.0,1.0,4.0
473,1853401,Apelação Criminal / Crimes do Sistema Nacional de Armas,1.0,5.0,1.0,1.0,1.0
474,1853407,Apelação Criminal / Furto Qualificado,1.0,,3.0,1.0,4.0
475,1853427,Revisão Criminal / Tráfico de Drogas e Condutas Afins,1.0,4.0,4.0,1.0,1.0
476,1853453,Mandado de Segurança Cível / Tutela de Urgência,1.0,4.0,1.0,1.0,2.0
477,1853470,Revisão Criminal / Latrocínio,1.0,6.0,2.0,1.0,2.0
478,1853530,Agravo de Execução Penal / Regressão de Regime,1.0,,1.0,1.0,5.0
479,1853591,Agravo de Execução Penal / Regressão de Regime,7.0,8.0,1.0,1.0,4.0
480,1853624,Apelação Criminal / Crime de Descumprimento de Medida Protetiva de Urgência,1.0,,1.0,1.0,5.0
481,1853626,Agravo de Execução Penal / Comutação de Pena,1.0,1.0,7.0,1.0,1.0
482,1853639,Habeas Corpus Criminal / Trancamento,10.0,,1.0,1.0,
483,1853654,Revisão Criminal / Latrocínio,1.0,,,2.0,5.0
484,1853669,Agravo de Execução Penal / Liminar,1.0,,2.0,1.0,3.0
485,1853680,Apelação Criminal / Furto,,,1.0,2.0,
486,1853692,Apelação Criminal / Crimes de Trânsito,,,,,
487,1853726,Habeas Corpus Criminal / Roubo Majorado,2.0,,2.0,1.0,5.0
488,1853783,Habeas Corpus Criminal / Liberdade Provisória,1.0,,1.0,1.0,6.0
489,1849751,Agravo Interno Cível / Tutela de Urgência,1.0,2.0,1.0,1.0,1.0
490,1849851,Apelação Cível / Obrigação de Fazer / Não Fazer,1.0,5.0,,2.0,1.0
491,1849229,Apelação Cível / Inexequibilidade do Título / Inexigibilidade da Obrigação,1.0,1.0,,2.0,1.0
492,1849409,Apelação Criminal / Grave,4.0,,,8.0,7.0
493,1849560,Revisão Criminal / Tráfico de Drogas e Condutas Afins,1.0,8.0,1.0,1.0,2.0
494,1849633,Apelação Criminal / Furto Qualificado,1.0,,1.0,1.0,7.0
495,1849651,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,,1.0,1.0,3.0
496,1849660,Apelação Criminal / Roubo Majorado,1.0,,1.0,1.0,5.0
497,1848702,Embargos de Declaração Criminal / Difamação,1.0,,2.0,1.0,4.0
498,1848712,Apelação Criminal / Roubo Majorado,1.0,2.0,2.0,1.0,2.0
499,1848745,Apelação Criminal / Tráfico de Drogas e Condutas Afins,5.0,,1.0,1.0,8.0
500,1848764,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,1.0,,2.0,1.0
